Object Name,Count,Mass[kg]
Post,1,202.35858460403355
Beam,1,116.00562073879354
Beam001,1,44.61754643799752
Beam002,1,116.00562073879357
Beam003,1,44.617546437997525
FloorPlate,1,384.711328125
stair,1,374.7155571240195
Handrail,1,29.441251426334283
Handrail001,1,34.77826072915374
Handrail002,1,55.71677386321964
Handrail003,1,22.43003972528411
Handrail004,1,35.92328935004334
